SpecID,_SpecID
CNC_Diptera4504,CNC_Diptera4504
CNC_Diptera4506,CNC_Diptera4506
CNC_Diptera45112,CNC_Diptera45112
CNC_Diptera45113,CNC_Diptera45113
CNC_Diptera45142,CNC_Diptera45142
CNC_Diptera45249,CNC_Diptera45249
CNC_Diptera45250,CNC_Diptera45250
CNC_Diptera45252,CNC_Diptera45252
CNC_Diptera45267,CNC_Diptera45267
CNC_Diptera45268,CNC_Diptera45268
CNC_Diptera45270,CNC_Diptera45270
CNC_Diptera45275,CNC_Diptera45275
CNC_Diptera45284,CNC_Diptera45284
CNC_Diptera45456,CNC_Diptera45456
CNC_Diptera45515,CNC_Diptera45515
CNC_Diptera45520,CNC_Diptera45520
CNC_Diptera45552,CNC_Diptera45552
CNC_Diptera45580,CNC_Diptera45580
CNC_Diptera45626,CNC_Diptera45626
CNC_Diptera45647,CNC_Diptera45647
CNC_Diptera45689,CNC_Diptera45689
CNC_Diptera45690,CNC_Diptera45690
CNC_Diptera4577,CNC_Diptera4577
CNC_Diptera45801,CNC_Diptera45801
CNC_Diptera45802,CNC_Diptera45802
CNC_Diptera45803,CNC_Diptera45803
CNC_Diptera45813,CNC_Diptera45813
CNC_Diptera45909,CNC_Diptera45909
CNC_Diptera45910,CNC_Diptera45910
CNC_Diptera46008,CNC_Diptera46008
CNC_Diptera461,CNC_Diptera461
CNC_Diptera4614,CNC_Diptera4614
CNC_Diptera46181,CNC_Diptera46181
CNC_Diptera46272,CNC_Diptera46272
CNC_Diptera46290,CNC_Diptera46290
CNC_Diptera46426,CNC_Diptera46426
CNC_Diptera46427,CNC_Diptera46427
CNC_Diptera46464,CNC_Diptera46464
CNC_Diptera46546,CNC_Diptera46546
CNC_Diptera46547,CNC_Diptera46547
CNC_Diptera46626,CNC_Diptera46626
CNC_Diptera46632,CNC_Diptera46632
CNC_Diptera46918,CNC_Diptera46918
CNC_Diptera46919,CNC_Diptera46919
CNC_Diptera46945,CNC_Diptera46945
CNC_Diptera46949,CNC_Diptera46949
CNC_Diptera46950,CNC_Diptera46950
CNC_Diptera47042,CNC_Diptera47042
CNC_Diptera47043,CNC_Diptera47043
CNC_Diptera47052,CNC_Diptera47052
CNC_Diptera47059,CNC_Diptera47059
CNC_Diptera47104,CNC_Diptera47104
CNC_Diptera47105,CNC_Diptera47105
CNC_Diptera47141,CNC_Diptera47141
CNC_Diptera47146,CNC_Diptera47146
CNC_Diptera47304,CNC_Diptera47304
CNC_Diptera47322,CNC_Diptera47322
CNC_Diptera47330,CNC_Diptera47330
CNC_Diptera47336,CNC_Diptera47336
CNC_Diptera47362,CNC_Diptera47362
CNC_Diptera47384,CNC_Diptera47384
CNC_Diptera47385,CNC_Diptera47385
CNC_Diptera47429,CNC_Diptera47429
CNC_Diptera47450,CNC_Diptera47450
CNC_Diptera47609,CNC_Diptera47609
CNC_Diptera47610,CNC_Diptera47610
CNC_Diptera47616,CNC_Diptera47616
CNC_Diptera47624,CNC_Diptera47624
CNC_Diptera47625,CNC_Diptera47625
